"block_id","Row_drug","Col_drug","HSA_score","SampleID"
425,"Ibrutinib","Duvelisib",27.116,"CLL5"
426,"Ibrutinib","Ibrutinib",27.241,"CLL5"
427,"Ibrutinib","MK-2206",1.919,"CLL5"
428,"Ibrutinib","Selumetinib",28.086,"CLL5"
429,"KX2-391","Duvelisib",30.597,"CLL5"
430,"KX2-391","Ibrutinib",33.132,"CLL5"
431,"KX2-391","MK-2206",4.121,"CLL5"
432,"KX2-391","Selumetinib",32.762,"CLL5"
433,"Lenalidomide","Duvelisib",-4.011,"CLL5"
434,"Lenalidomide","Ibrutinib",5.571,"CLL5"
435,"Lenalidomide","MK-2206",0.423,"CLL5"
436,"Lenalidomide","Selumetinib",1.809,"CLL5"
437,"MK-2206","Duvelisib",21.14,"CLL5"
438,"MK-2206","Ibrutinib",26.196,"CLL5"
439,"MK-2206","MK-2206",3.347,"CLL5"
440,"MK-2206","Selumetinib",22.745,"CLL5"
441,"Onalespib","Duvelisib",8.857,"CLL5"
442,"Onalespib","Ibrutinib",13.943,"CLL5"
443,"Onalespib","MK-2206",2.921,"CLL5"
444,"Onalespib","Selumetinib",11.388,"CLL5"
445,"PRT062607","Duvelisib",1.526,"CLL5"
446,"PRT062607","Ibrutinib",3.454,"CLL5"
447,"PRT062607","MK-2206",9.481,"CLL5"
448,"PRT062607","Selumetinib",8.304,"CLL5"
449,"Quizartinib","Duvelisib",21.383,"CLL5"
450,"Quizartinib","Ibrutinib",23.484,"CLL5"
451,"Quizartinib","MK-2206",-5.598,"CLL5"
452,"Quizartinib","Selumetinib",26.249,"CLL5"
453,"Ruxolitinib","Duvelisib",-8.412,"CLL5"
454,"Ruxolitinib","Ibrutinib",-0.434,"CLL5"
455,"Ruxolitinib","MK-2206",-3.204,"CLL5"
456,"Ruxolitinib","Selumetinib",2.654,"CLL5"
457,"Selinexor","Duvelisib",21.858,"CLL5"
458,"Selinexor","Ibrutinib",25.546,"CLL5"
459,"Selinexor","MK-2206",2.511,"CLL5"
460,"Selinexor","Selumetinib",24.921,"CLL5"
461,"Selumetinib","Duvelisib",-6.282,"CLL5"
462,"Selumetinib","Ibrutinib",8.407,"CLL5"
463,"Selumetinib","MK-2206",2.969,"CLL5"
464,"Selumetinib","Selumetinib",2.528,"CLL5"
465,"Tipifarnib","Duvelisib",24.715,"CLL5"
466,"Tipifarnib","Ibrutinib",30.797,"CLL5"
467,"Tipifarnib","MK-2206",2.717,"CLL5"
468,"Tipifarnib","Selumetinib",21.247,"CLL5"
469,"Trametinib","Duvelisib",33.291,"CLL5"
470,"Trametinib","Ibrutinib",35.872,"CLL5"
471,"Trametinib","MK-2206",-0.131,"CLL5"
472,"Trametinib","Selumetinib",36.022,"CLL5"
473,"Venetoclax","Duvelisib",26.249,"CLL5"
474,"Venetoclax","Ibrutinib",28.612,"CLL5"
475,"Venetoclax","MK-2206",4.614,"CLL5"
476,"Venetoclax","Selumetinib",24.687,"CLL5"
477,"Vismodegib","Duvelisib",-6.283,"CLL5"
478,"Vismodegib","Ibrutinib",0.312,"CLL5"
479,"Vismodegib","MK-2206",-1.584,"CLL5"
480,"Vismodegib","Selumetinib",3.612,"CLL5"
481,"AZD8055","Duvelisib",-0.925,"CLL6"
482,"AZD8055","Ibrutinib",-5.489,"CLL6"
483,"AZD8055","MK-2206",-2.826,"CLL6"
484,"AZD8055","Selumetinib",-0.383,"CLL6"
485,"Birinapant","Duvelisib",5.986,"CLL6"
486,"Birinapant","Ibrutinib",6.076,"CLL6"
487,"Birinapant","MK-2206",9.747,"CLL6"
488,"Birinapant","Selumetinib",6.566,"CLL6"
489,"BX-912","Duvelisib",2.236,"CLL6"
490,"BX-912","Ibrutinib",-0.279,"CLL6"
491,"BX-912","MK-2206",3.11,"CLL6"
492,"BX-912","Selumetinib",4.13,"CLL6"
493,"CHIR-99021","Duvelisib",4.11,"CLL6"
